song_id,song_name,artist_name,city_id,spotify_song_id,duration_s
0,East River,Jeffrey Lewis,0,7eatI6m2W2da2pIjF9xzaF,190
1,Flight,Rare Bird,0,7oJbYEoFt2kD7tsKYJqCtC,222
2,New York City,ATC,0,5shT50Ko5C46NbNVSJHdTw,210
3,New York Rain,Last Autumns Dream,0,4c8JVCEFs6JlqvJSZdex8O,270
4,Uptown,Joe Bataan,0,7zYkzG4BgJYnqpOWOb3tK2,308
5,Last Night,Kid n Play,0,3q5fgYEHyB30CjxaLy1jbV,264
6,Laredo,Band of Horses,170,61beXNR1qPPxjyM8x3pdRk,192
7,Ode to Pittsburgh,Loudon Wainwright III),30,7pFYzEVKa5WYXiUZSzW50I,194
8,Theres No Surf in Cleveland,the Euclid Beach Band,29,7d8rUQISXtGAesdgkMfRB4,274
9,Willie Jones,the Charlie Daniels Band,21,3bC10NHwY64PV7lSBmjZ13,192
10,Harlem Shake,Baauer,0,01XFgRZfZI7oBagNf1Loml,196
