song_id,song_name,artist_name,city_id,spotify_song_id,duration_s
0,East River,Jeffrey Lewis,0,7eatI6m2W2da2pIjF9xzaF,190
1,Flight,Rare Bird,0,7oJbYEoFt2kD7tsKYJqCtC,222
2,New York City,ATC,0,5shT50Ko5C46NbNVSJHdTw,210
3,New York Rain,Last Autumns Dream,0,4c8JVCEFs6JlqvJSZdex8O,270
4,Uptown,Joe Bataan,0,7zYkzG4BgJYnqpOWOb3tK2,308
5,Last Night,Kid n Play,0,3q5fgYEHyB30CjxaLy1jbV,264
6,Laredo,Band of Horses,170,61beXNR1qPPxjyM8x3pdRk,192
7,Ode to Pittsburgh,Loudon Wainwright III),30,7pFYzEVKa5WYXiUZSzW50I,194
8,Theres No Surf in Cleveland,the Euclid Beach Band,29,7d8rUQISXtGAesdgkMfRB4,274
9,Willie Jones,the Charlie Daniels Band,21,3bC10NHwY64PV7lSBmjZ13,192
10,Harlem Shake,Baauer,0,01XFgRZfZI7oBagNf1Loml,196
11,Houston (Im Comin to See You),Glen Campbell,12,6JxpwwqnYykrRr2uxTqLso,200
12,Hyphy,The Federation,12,3nnLUys1KPa4WrJQDZAgts,271
13,I Left My Heart in San Francisco,Tony Bennett,12,1bYItjcPRtxZs6Ir71O5RB,170
14,Josie,John Stewart,12,05kdmWdXwTgHpK969gevDS,178
15,San Francisco,Alkaline Trio,12,0KL9AAHQythSFxCXGkH7di,232
16,Snow in San Anselmo,Van Morrison,12,1ZBJc7LVVfnf6phmhiBejS,276
17,Seattle,Jon Bryant,11,1psynyQxKkDCM9Z0fyCB5L,381
18,New York,AZ,0,5vxII6AxXbPsAJE5dAdBo9,289
19,Harlem Sandman,Dinning Sisters,0,6HozCChWvzEROXBivdg16h,155
20,Made In NYC,The Casualties,0,2Ue7dSUIlQR0dTpBDTo2nK,145
21,Manhattan,Eric Johnson,0,21i2hxJAkQCWlSWejTkN0T,292
22,Pier 17,Jagúar,0,6KG2MmTTGFatxV0o2a7N05,621
23,The New York Girls Club,Rebecca Pidgeon,0,2JuMIzXoCFoLrMVOu3xKqj,221
24,Hit Em Up,2Pac,0,0Z2J91b2iTGLVTZC4fKgxf,312
25,Slam,Onyx,0,0W2mz7mvaBaEsC4rmoRNPn,218
26,Tribeca,Kenny G,0,4iaqAIsPzcIITMJGrdilPB,406
27,Seattle,Public Image Limited,11,5a5WR72xhtIyEHj3Q8RKo1,220
28,Seattle,The Sass,11,0mlf3yOGzVnIVxjybDQL3h,213
29,Seattle,Mark Knopfler,11,0xQguLwFZSGfGnpfaUXMNF,256
30,Hotlanta,38 Special,0,4or6bIly7Vv5JVoTZBp9xm,342
31,Little Faith,The National,0,2kAu35H96f9hG3J96zfQOt,276
32,NYC,Burial,0,1ZJyJhgJzndyIkvTrPbVAO,457
33,One To 31,J Live,0,38wWn5PLzm6ZjEMPf66QnQ,273
34,(On The Street) Of New York City,Harvey Scales,0,0OgmZoVl0YKzTfoMdayJDU,158
35,(Take Me To) New York City,Lamar Thomas,0,6VfSqcrmk35x4kByxYP00y,253
36,(We Are) New York Lightning,Voices Of East Harlem,0,5ejyqxJ0HYBBUNnYTrYNeT,174
37,116th and Lenox,Jackie McLean,0,6HBjHaqFFpz8dIf6kDmcG8,361
38,11:11,Rufus Wainwright,0,7Jh7ybOQABcxRGFNMuULQX,267
39,11:35,Aesop Rock,0,0v8Maqj1SaQfUdKS4TRU61,263
40,11th Street Kids,Hanoi Rocks,0,0ypDf4WSaOLQNjePr5JRAS,240
41,125th Street Congress,Weather Report,0,7qJkuqvDhyD20D1JCK2Aqy,732
42,14th Street Beat,Sylvain Sylvain,0,77ldo6YOfzP0ipASe9aY9W,192
43,14th Street Blues,Leon Redbone,0,5QhPCsNXbayTwLydvYF4EX,173
44,14th Street,Rufus Wainwright,0,6m7RPmtcYfM1Zhytjn3ICL,284
45,153rd Street Theme,Larry Willis,0,0yoGZu7D3OEkADcDAR4wg1,408
46,1train,A$AP Rocky,0,1eLU27PPFxBhbp1CBjPh9J,372
47,2 West 46th Street,Moondog,0,4ouefBJHrPQp1HV0DFN34s,128
48,20th December Madison Avenue,Lisa Miskovsky,0,4qcNf2wtp0NGRbWptLM7LV,335
49,212,Azealia Banks,0,16EMONl2vH3rt9f4ehTG8g,204
50,24 Hrs. to Live,Mase,0,02dwHTP8NS3rOaOWhg8j7V,256
51,3-O-Clock,Marco Polo,0,4eYgeFxu7QYUBJmU08DePg,265
52,3rd and Broadway,Brazzaville,0,2OzyTRc9dO91WVTkoSia0e,232
53,40 Island,Noreaga,0,3CkCmpwpWhQqFZDLdU0lTS,275
54,415 Central Park West,Steve Grossman,0,6gKtrO9pnwHn0FHfgRZjYN,328
55,42nd Street Dub,Renegade Soundwave,0,6aGU8GCJppKwHaZ5DWfhAF,92
56,42nd Street,Golden Earring,0,3VIeJhTqKCxKlEvolEjjmr,214
57,42nd Street,Gunhill Road,0,6gYM1tEkWNGYJP7vTdQ1ly,189
58,45 Minutes from Broadway,George M. Cohan,0,2P6YvSIhZ1Nb7jNhmMQ8xM,156
59,45th Street,Dumpty Cooper Group,0,4ooHnEDSrDboeaxgQyh5rx,251
60,52nd Street Theme,Bud Powell,0,0oDgc718NJn7CyiClFRExR,169
61,52nd Street,Billy Joel,0,4V4JM8brxPHFkaDd4OyTii,146
62,53rd & 3rd,The Ramones,0,1KsSlsvm2hjzB1WWkryxIj,141
63,59 Chrystie Street,Beastie Boys,0,1gBEvCBtfABQqEjwUGoSD3,56
64,6 N The Mornin,Ice-T,0,2cBOh97kgDenDOdtKhwU9O,224
65,6B Panorama,Aesop Rock,0,6SjwDmFU8wp5cEb6B54kF1,122
66,6th Avenue Heartache,The Wallflowers,0,1qEyqHR1xsj2MC4Qy0dsaI,337
67,6th Avenue,India.Arie,0,3CW4q8eFoRyGnnA52l5VlI,172
68,747 (Strangers in the Night),Saxon,0,1EORu8Coheibl21VjHtbRg,298
69,7th Avenue South,Jonathan Butler,0,79fDlHRG0mvHy8IZejn2aN,298
70,7th Avenue,Big Rude Jake,0,1YJj3vFE2NFiMzORvXvEmD,289
71,8 Million Stories,Kurtis Blow,0,1FLIgmB6iB4Q1yj9eWisOA,482
72,80 Blocks From Tiffanys,Pete Rock & Camp Lo,0,3RVZBDyJlNod81aEJk3pJz,164
73,Biggest Bordertown,Bob Neuwirth,0,2ABUMg9QisTb7Vfz4Z7UBk,278
74,83rd & 4th,Zaine Griff,0,7l3bRIjmM1fSFJ4Xd0LFgc,200
75,88 Christopher Street,Dirt Bike Annie,0,1975Qd9xzW3TxVpGLdaMsJ,175
76,8th Avenue Shuffle,The Doobie Brothers,0,7t9TKKj8WrhMiNwP3yD9Yx,284
77,93 Ave. B Blues,The Swans,0,0iOgMYVsUYTnkKUBMBQiIi,321
78,9th Ave. Limbo,Julee Cruise,0,2QSpjjPQMp7GKSRAGTRfph,305
79,A Broadway Musical,(from the musical A Broadway Musical),0,5jRNnH8oSlUfN6pJUvk6ju,278
80,A Helluva Town,George Russell,0,51UFGWaxrNhTQwPpBYtT37,301
81,A Letter to the New York Post,Public Enemy,0,5XnTUZ7g2XsyyVu8ScI26y,165
82,A Little Somethin,LL Cool J,0,6zLzZYLJElc4vHk6N4xun4,266
83,A Million Miles From Harlem,Mac & Katie Kissoon,0,1Exmmn7qMtJRyL4Jm7XOs9,212
84,A New York Christmas,Rob Thomas,0,4vkIcG79OWK0h3iZRfckLa,279
85,A Queens Story,Nas,0,5ZFe9xHarx827MT4ecHQvi,275
86,A Scot In New York,Band Of The Black Watch,0,1nB4GQnOTH5frtd6oJHQYt,135
87,A Trip to NYC,Sleeping States,0,08ACwYQp5MGFUkFteuyWQi,164
88,Aint No Greens In Harlem,The Vibrations,0,5liSDOxOIkIBazr5hKOyzr,202
89,Alex Chilton,The Replacements,0,2g9EvzLR2sYscJQubwKGqu,194
90,All My Friends In New York,The Destructors,0,7EjluChxWIbYEZK2pyGkep,136
91,All The Critics Love U In New York,Prince,0,4DS9ptm14TaKZ5san3PZOr,357
92,Aloha New York,Powersolo,0,5U0lAXBhHafswUFOAId70F,219
93,Already Home,A Great Big World,0,2UqABRs8RMrgjkYZZ6VawW,230
94,American Boy,Estelle feat.Kanye West,0,2O2Mp4GGIM9zzBA73zWsT1,288
95,An Open Letter To NYC,The Beastie Boys,0,5vwudDPhjnuA1KrNsFjAHK,258
96,Angel of Harlem,U2,0,7iBav4v8maicL8cWKGxFhQ,229
97,Another Hundred People,Stephen Sondheim,0,0F2No59cMvdPcoZYQLUIfa,354
98,Another Lonely Night In New York,Robin Gibb,0,2Fxb080lQzmWEOwxbcW2CW,254
99,Another Rainy Day In New York City,Chicago,0,19PKMOoh2Rra8T50wrkq1X,181
100,Aurélie New York City,Gerard Lenorman,0,2Vz2rD72ASapcNVnM5k6Wu,188
101,Auto Theft In New York City,Ism,0,4iSssJdsBme7NT4jGur1NU,166
102,Avenue A,The Dictators,0,5qgTgqPE73JndSns5QhN92,227
103,Avenue B,Gogol Bordello,0,6sv27nGWJMpnY8aAdM9Wof,187
104,Avenue B,Iggy Pop,0,69KbGS9OVFmCxeR3hEZj1h,321
105,Avenue Z,Faith And Fire,0,2GdlMMoM4P69Ay6R0oJ83d,282
106,B-Boy Bouillabaisse,Beastie Boys,0,76ljCVu9QbuttT9xDTHfjj,141
107,B.K. Anthem,Foxy Brown,0,3liGFAshsmzJZW17h9Kebe,259
108,Babes On Broadway,Artful Dodger,0,3mfvwZBUzWx5qz3i8TRALQ,199
109,Back Home To Harlem,Rosewood Thieves,0,0PSuvJ3RrfgQUWECPWcFVW,159
110,Back In N.Y.C.,Genesis,0,6cOY9RoMaakpIlWrqHgwgp,339
111,Back to Manhattan,Norah Jones,0,2Phq7kFebjWp2Gi5ungSWF,247
112,Back When I Was Four,Jeffrey Lewis,0,0S4d4vdLZHId4ct2fgk0JR,283
113,Bad Boy,Holy Modal Rounders,0,72j2JCZGCAbBkar34HQNUB,221
114,Ballad of the Lower East Side,Michael Monroe,0,6hOAbldaYrnNmvpvtalTjs,196
115,Baltimore Is The New Brooklyn,JC Brooks & the Uptown Sound,0,4tOsPetqjO4nUx7HyXb3Vo,245
116,Bassline,Mantronix,0,4iuO0dinw5Bm18pXbZok8w,326
117,Bedstuy Parade & Funeral March,Mos Def,0,01da6Nb55VXzvS14CzbLjY,272
118,Bells Of New York City,Josh Groban,0,2dPH8BpFW1BlKzlE5XmFBV,229
119,Beneath Your Beautiful,Emeli Sande,0,2EcsgXlxz99UMDSPg5T8RF,271
120,Bensonhurst Blues,Oscar Benton,0,2CqMG89BE6Qy1MXgkJVDPg,233
121,Bicton Vs Brooklyn,Dave Warner,0,32dZk5UqTIESzTDr0gyfE8,244
122,Big Apple Boogaloo,Brooklyn Funk Essentials,0,1jqjLr80EJt9sGvW3bBsN8,247
123,Big Apple Dreamin,Alice Cooper,0,6003800WpzyePDBJHEhJ0H,310
124,Big Apple Rock,Black Ivory,0,13tmpoRRMxBahDwG252Mc7,614
125,Big Apple,Kajagoogoo,0,5GdmKwHrXRfGT40ZGs0W5R,249
126,Big Apple,Molly Hatchet,0,21yBJIccH2SVrshsxrrmQ8,181
127,Big Bad Rap!,Age Of Chance,0,0Cn7M9B82YHHaMMpV28wRr,276
